TRADING_DATE,PERIOD,DEMAND,USEP
13-Jul-13,40,5393.911,162.24
13-Jul-13,41,5406.222,163.27
13-Jul-13,42,5397.793,162.76
13-Jul-13,43,5377.694,157.21
13-Jul-13,44,5311.504,160.9
13-Jul-13,45,5205.24,171.84
13-Jul-13,46,5114.145,156.11
13-Jul-13,47,5033.74,343.72
13-Jul-13,48,5041.354,344.54
14-Jul-13,1,4906.185,232.53
14-Jul-13,2,4804.429,157.28
14-Jul-13,3,4665.215,149.45
14-Jul-13,4,4588.702,149.41
14-Jul-13,5,4544.498,147.26
14-Jul-13,6,4515.692,138.94
14-Jul-13,7,4477.91,136.54
14-Jul-13,8,4433.27,136.32
14-Jul-13,9,4419.761,136.29
14-Jul-13,10,4400.204,136.22
14-Jul-13,11,4387.65,136.22
14-Jul-13,12,4415.736,136.22
14-Jul-13,13,4453.945,136.44
14-Jul-13,14,4424.915,136.29
14-Jul-13,15,4395.379,136.2
14-Jul-13,16,4473.487,136.37
14-Jul-13,17,4606.777,136.3
14-Jul-13,18,4714.905,136.58
14-Jul-13,19,4792.725,136.67
14-Jul-13,20,4859.795,136.73
14-Jul-13,21,4926.239,137.46
14-Jul-13,22,4957.491,137.46
14-Jul-13,23,4943.078,134.17
14-Jul-13,24,4915.414,138.04
14-Jul-13,25,4905.584,135.6
14-Jul-13,26,4940.056,138.27
14-Jul-13,27,4981.128,138.64
14-Jul-13,28,4996.649,139.38
14-Jul-13,29,4993.458,139.9
14-Jul-13,30,5004.154,139.9
14-Jul-13,31,5000.148,148.22
14-Jul-13,32,4987.723,138.99
14-Jul-13,33,4966.069,138.98
14-Jul-13,34,4932.854,142.21
14-Jul-13,35,4909.744,142.17
14-Jul-13,36,4905.057,142.19
14-Jul-13,37,4952.998,142.42
14-Jul-13,38,5057.755,149.38
14-Jul-13,39,5160.997,149.59
14-Jul-13,40,5223.087,157.21
14-Jul-13,41,5263.215,163.46
14-Jul-13,42,5278.637,169.51
14-Jul-13,43,5281.733,175.44
14-Jul-13,44,5233.827,163.45
14-Jul-13,45,5133.766,151.17
14-Jul-13,46,5006.634,149.25
14-Jul-13,47,4840.656,149.38
14-Jul-13,48,4684.141,142.28
15-Jul-13,1,4562.873,142.24
15-Jul-13,2,4466.981,138.73
15-Jul-13,3,4339.456,132.55
15-Jul-13,4,4304.293,130.76
15-Jul-13,5,4260.294,129.45
15-Jul-13,6,4219.938,129.4
15-Jul-13,7,4198.785,128.37
15-Jul-13,8,4195.371,123.48
15-Jul-13,9,4197.115,123.48
15-Jul-13,10,4215.788,126.22
15-Jul-13,11,4280.422,129.45
15-Jul-13,12,4426.232,132.6
15-Jul-13,13,4584.994,137.9
15-Jul-13,14,4748.487,143.31
15-Jul-13,15,4971.262,146.06
15-Jul-13,16,5264.582,143.62
15-Jul-13,17,5555.347,149.57
15-Jul-13,18,5757.566,149.56
15-Jul-13,19,5871.434,152.19
15-Jul-13,20,5946.058,152.19
15-Jul-13,21,6001.653,154.21
15-Jul-13,22,6021.692,157.24
15-Jul-13,23,6024.117,157.24
15-Jul-13,24,5991.872,153.21
15-Jul-13,25,5930.721,149.63
15-Jul-13,26,5940.835,149.63
15-Jul-13,27,5981.882,149.64
15-Jul-13,28,6013.442,149.63
15-Jul-13,29,6037.964,166.94
15-Jul-13,30,6060.219,163.31
15-Jul-13,31,6090.482,176.29
15-Jul-13,32,6102.25,176.3
15-Jul-13,33,6079.746,167.06
15-Jul-13,34,6013.576,159.26
15-Jul-13,35,5947.534,151.18
15-Jul-13,36,5848.93,149.61
15-Jul-13,37,5765.18,149.61
15-Jul-13,38,5752.109,151.17
15-Jul-13,39,5769.38,152.19
15-Jul-13,40,5747.219,149.58
15-Jul-13,41,5708.81,147.16
15-Jul-13,42,5651.332,157.33
15-Jul-13,43,5566.991,149.6
15-Jul-13,44,5428.418,147.16
15-Jul-13,45,5271.356,147.14
15-Jul-13,46,5126.128,143.49
