date,price
9/15/17,1.3453
9/14/17,1.3469
9/13/17,1.3504
9/12/17,1.3472
9/11/17,1.3465
9/10/17,1.3402
9/9/17,1.3416
9/8/17,1.3416
9/7/17,1.34
9/6/17,1.3499
9/5/17,1.353
9/4/17,1.3572
9/3/17,1.3582
9/2/17,1.3558
9/1/17,1.357
8/31/17,1.3558
8/30/17,1.358
8/29/17,1.3551
8/28/17,1.3547
8/27/17,1.3555
8/26/17,1.3559
8/25/17,1.3559
8/24/17,1.362
8/23/17,1.3606
8/22/17,1.3623
8/21/17,1.3607
8/20/17,1.3643
8/19/17,1.3636
8/18/17,1.3631
8/17/17,1.3663
8/16/17,1.3624
8/15/17,1.3672
8/14/17,1.3631
8/13/17,1.3611
8/12/17,1.3614
8/11/17,1.3608
8/10/17,1.3635
8/9/17,1.3637
8/8/17,1.3631
8/7/17,1.3628
8/6/17,1.3604
8/5/17,1.3606
8/4/17,1.3609
8/3/17,1.3589
8/2/17,1.3594
8/1/17,1.3582
7/31/17,1.3553
7/30/17,1.3571
7/29/17,1.357
7/28/17,1.3567
7/27/17,1.359
7/26/17,1.3563
7/25/17,1.3625
7/24/17,1.3621
7/23/17,1.3631
7/22/17,1.3623
7/21/17,1.3625
7/20/17,1.3661
7/19/17,1.3685
7/18/17,1.3668
7/17/17,1.3703
7/16/17,1.3719
7/15/17,1.3715
7/14/17,1.3715
7/13/17,1.3743
7/12/17,1.3778
7/11/17,1.382
7/10/17,1.3847
7/9/17,1.3823
7/8/17,1.3821
7/7/17,1.3822
7/6/17,1.3822
7/5/17,1.3808
7/4/17,1.383
7/3/17,1.3829
7/2/17,1.3768
7/1/17,1.3768
6/30/17,1.3765
6/29/17,1.3794
6/28/17,1.3819
6/27/17,1.3872
6/26/17,1.3887
6/25/17,1.3864
6/24/17,1.3874
6/23/17,1.3873
6/22/17,1.3903
6/21/17,1.3892
6/20/17,1.3894
6/19/17,1.3871
6/18/17,1.3831
6/17/17,1.383
6/16/17,1.3832
6/15/17,1.3838
6/14/17,1.3758
6/13/17,1.3816
6/12/17,1.3841
6/11/17,1.3843
6/10/17,1.3845
6/9/17,1.3844
6/8/17,1.3819
6/7/17,1.3819
6/6/17,1.3792
6/5/17,1.3818
6/4/17,1.3815
6/3/17,1.3807
6/2/17,1.3813
6/1/17,1.3864
5/31/17,1.3832
5/30/17,1.3852
5/29/17,1.3864
5/28/17,1.3816
5/27/17,1.3816
5/26/17,1.3817
5/25/17,1.3866
5/24/17,1.3846
5/23/17,1.3895
5/22/17,1.3863
5/21/17,1.386
5/20/17,1.386
5/19/17,1.386
5/18/17,1.3932
5/17/17,1.3901
5/16/17,1.3948
5/15/17,1.3975
5/14/17,1.404
5/13/17,1.404
5/12/17,1.404
5/11/17,1.4075
5/10/17,1.4111
5/9/17,1.4116
5/8/17,1.406
5/7/17,1.4043
5/6/17,1.4047
