TRADING_DATE,PERIOD,DEMAND,USEP
11/Jan/15,14,4348.68,73.01
11/Jan/15,15,4363.014,73.01
11/Jan/15,16,4461.534,74.67
11/Jan/15,17,4612.08,75.14
11/Jan/15,18,4746.081,88.36
11/Jan/15,19,4848.359,96.45
11/Jan/15,20,4954.518,100.6
11/Jan/15,21,5034.113,75.27
11/Jan/15,22,5079.26,75.29
11/Jan/15,23,5080.19,75.2
11/Jan/15,24,5051.612,74.82
11/Jan/15,25,5041.036,74.83
11/Jan/15,26,5068.068,75.2
11/Jan/15,27,5074.698,75.19
11/Jan/15,28,5098.275,75.25
11/Jan/15,29,5102.231,75.29
11/Jan/15,30,5092.013,75.25
11/Jan/15,31,5065.369,75.18
11/Jan/15,32,5046.523,75.18
11/Jan/15,33,5022.249,74.82
11/Jan/15,34,5013.8,74.83
11/Jan/15,35,5009.74,74.83
11/Jan/15,36,5027.895,96.54
11/Jan/15,37,5081.487,120.86
11/Jan/15,38,5179.48,78.42
11/Jan/15,39,5278.741,82.52
11/Jan/15,40,5312.244,96.71
11/Jan/15,41,5289.899,88.58
11/Jan/15,42,5286.604,94.12
11/Jan/15,43,5268.443,96.69
11/Jan/15,44,5218.559,88.58
11/Jan/15,45,5106.113,78.38
11/Jan/15,46,4988.886,75.28
11/Jan/15,47,4857.131,80.45
11/Jan/15,48,4744.406,78.35
12/Jan/15,1,4661.373,77.31
12/Jan/15,2,4595.088,75.23
12/Jan/15,3,4481.066,74.12
12/Jan/15,4,4428.424,74.06
12/Jan/15,5,4370.031,72.28
12/Jan/15,6,4331.877,72.24
12/Jan/15,7,4309.71,72.23
12/Jan/15,8,4285.447,71.41
12/Jan/15,9,4290.531,71.09
12/Jan/15,10,4309.288,71.09
12/Jan/15,11,4391.159,71.46
12/Jan/15,12,4527.745,74.07
12/Jan/15,13,4722.574,78.33
12/Jan/15,14,4893.795,85.57
12/Jan/15,15,5127.256,77.32
12/Jan/15,16,5398.553,75.23
12/Jan/15,17,5711.121,78.39
12/Jan/15,18,5906.363,76.81
12/Jan/15,19,6038.51,78.53
12/Jan/15,20,6120.172,83.86
12/Jan/15,21,6188.008,102.1
12/Jan/15,22,6231.575,107.08
12/Jan/15,23,6230.119,97.65
12/Jan/15,24,6176.333,81.66
12/Jan/15,25,6143.511,79.57
12/Jan/15,26,6163.257,79.59
12/Jan/15,27,6199.036,82.68
12/Jan/15,28,6244.984,88.66
12/Jan/15,29,6274.073,97.64
12/Jan/15,30,6252.742,94.08
12/Jan/15,31,6239.249,90.08
12/Jan/15,32,6241.818,90.06
12/Jan/15,33,6231.635,79.58
12/Jan/15,34,6200.647,79.59
12/Jan/15,35,6133.472,78.07
12/Jan/15,36,5998.596,75.23
12/Jan/15,37,5906.348,74.39
12/Jan/15,38,5919.031,74.86
12/Jan/15,39,5925.174,75.31
12/Jan/15,40,5902.591,75.28
12/Jan/15,41,5848.249,75.45
12/Jan/15,42,5794.911,100.82
12/Jan/15,43,5712.329,84.61
12/Jan/15,44,5577.09,79.12
12/Jan/15,45,5421.062,79.14
12/Jan/15,46,5269.696,76.4
12/Jan/15,47,5120.029,74.2
12/Jan/15,48,4937.73,72.23
13/Jan/15,1,4774.565,73.14
13/Jan/15,2,4656.656,70.5
13/Jan/15,3,4592.007,70.5
13/Jan/15,4,4517.919,66.29
13/Jan/15,5,4483.104,66.06
13/Jan/15,6,4452.976,66.07
13/Jan/15,7,4425.845,65.48
13/Jan/15,8,4405.388,65.44
13/Jan/15,9,4413.246,65.46
13/Jan/15,10,4439.636,66.07
13/Jan/15,11,4511.05,66.3
13/Jan/15,12,4652.974,70.52
13/Jan/15,13,4844.9,74.14
13/Jan/15,14,5000.138,75.3
13/Jan/15,15,5215.657,70.63
13/Jan/15,16,5490.349,74.23
13/Jan/15,17,5788.37,78.47
13/Jan/15,18,5941.804,74.1
13/Jan/15,19,6074.925,77.39
13/Jan/15,20,6164.897,78.5
13/Jan/15,21,6232.788,80.63
13/Jan/15,22,6285.559,83.7
13/Jan/15,23,6289.311,83.7
13/Jan/15,24,6231.058,80.9
13/Jan/15,25,6179.251,79.58
13/Jan/15,26,6198.102,79.14
13/Jan/15,27,6266.385,81.69
13/Jan/15,28,6295.966,83.23
13/Jan/15,29,6309.112,83.91
13/Jan/15,30,6275.057,82.2
13/Jan/15,31,6283.173,82.69
13/Jan/15,32,6273.894,81.63
13/Jan/15,33,6276.653,81.71
13/Jan/15,34,6244.716,79.61
13/Jan/15,35,6175.856,78.51
13/Jan/15,36,6055.433,75.33
13/Jan/15,37,5982.603,75.4
13/Jan/15,38,6004.575,77.47
13/Jan/15,39,5997.543,77.49
13/Jan/15,40,5936.088,75.29
13/Jan/15,41,5884.127,76.41
13/Jan/15,42,5855.102,91.07
13/Jan/15,43,5765.299,81.7
13/Jan/15,44,5622.546,78.53
13/Jan/15,45,5476.925,87.08
13/Jan/15,46,5336.125,122.94
13/Jan/15,47,5196.513,101.9
13/Jan/15,48,4968.439,74.69
14/Jan/15,1,4772.855,79.35
14/Jan/15,2,4637.88,86.44
14/Jan/15,3,4612.786,90.77
14/Jan/15,4,4538.117,80.64
14/Jan/15,5,4499.659,78.89
14/Jan/15,6,4472.443,78.47
14/Jan/15,7,4435.963,76.51
14/Jan/15,8,4413.916,75.11
14/Jan/15,9,4412.033,74.79
14/Jan/15,10,4436.818,74.84
14/Jan/15,11,4509.186,77.87
14/Jan/15,12,4651.716,86.44
14/Jan/15,13,4840.864,131.27
14/Jan/15,14,4986.257,131.38
14/Jan/15,15,5203.252,77.37
14/Jan/15,16,5491.383,76.31
14/Jan/15,17,5782.202,78.47
14/Jan/15,18,5928.166,73.27
14/Jan/15,19,6055.95,74.81
14/Jan/15,20,6135.659,76.39
14/Jan/15,21,6213.35,78.57
14/Jan/15,22,6260.813,79.16
14/Jan/15,23,6263.333,79.18
14/Jan/15,24,6199.936,75.38
14/Jan/15,25,6152.651,73.48
14/Jan/15,26,6175.136,74.84
14/Jan/15,27,6238.846,77.56
14/Jan/15,28,6274.923,78.14
14/Jan/15,29,6288.64,81.67
14/Jan/15,30,6261.022,78.57
14/Jan/15,31,6264.064,78.57
14/Jan/15,32,6254.422,78.14
14/Jan/15,33,6251.177,79.15
14/Jan/15,34,6212.5,77.55
14/Jan/15,35,6146.151,74.88
14/Jan/15,36,6016.598,70.7
14/Jan/15,37,5945.785,70.68
14/Jan/15,38,5961.918,71.33
14/Jan/15,39,5959.055,71.34
14/Jan/15,40,5905.14,70.68
14/Jan/15,41,5858.03,71.31
14/Jan/15,42,5810.661,80.89
14/Jan/15,43,5736.165,79.14
14/Jan/15,44,5608.431,74.89
14/Jan/15,45,5474.564,78.11
14/Jan/15,46,5315.47,71.34
14/Jan/15,47,5168.82,70.62
14/Jan/15,48,4974.637,66.27
15/Jan/15,1,4785.822,70.5
15/Jan/15,2,4676.487,69.18
15/Jan/15,3,4626.707,69.18
15/Jan/15,4,4554.901,67.02
15/Jan/15,5,4513.739,65.47
15/Jan/15,6,4485.768,65.48
15/Jan/15,7,4469.049,63.18
15/Jan/15,8,4438.588,62.98
15/Jan/15,9,4446.823,62.94
15/Jan/15,10,4469.367,63.18
15/Jan/15,11,4543.991,66.94
15/Jan/15,12,4691.004,69.26
15/Jan/15,13,4871.345,71.29
15/Jan/15,14,5025.202,77.99
15/Jan/15,15,5233.012,70.62
15/Jan/15,16,5516.034,71.4
15/Jan/15,17,5791.437,77.54
15/Jan/15,18,5948.876,71.29
15/Jan/15,19,6063.798,73.45
15/Jan/15,20,6140.519,75.3
15/Jan/15,21,6219.816,81.64
15/Jan/15,22,6269.188,87.64
15/Jan/15,23,6269.272,84.04
15/Jan/15,24,6228.25,82.66
15/Jan/15,25,6191.686,78.11
15/Jan/15,26,6209.424,79.16
15/Jan/15,27,6266.996,92.97
15/Jan/15,28,6294.585,99.51
15/Jan/15,29,6303.749,101.32
15/Jan/15,30,6289.764,99.49
15/Jan/15,31,6290.777,99.5
15/Jan/15,32,6286.464,95.02
15/Jan/15,33,6272.587,93.66
15/Jan/15,34,6244.507,87.73
15/Jan/15,35,6183.654,75.38
15/Jan/15,36,6064.513,73.36
15/Jan/15,37,6001.459,74.79
15/Jan/15,38,5992.001,74.79
15/Jan/15,39,5987.588,74.4
15/Jan/15,40,5911.298,70.7
15/Jan/15,41,5873.73,74.36
15/Jan/15,42,5837.325,95.04
15/Jan/15,43,5752.656,87.74
15/Jan/15,44,5618.645,74.89
15/Jan/15,45,5472.397,81.64
15/Jan/15,46,5313.596,72.49
15/Jan/15,47,5175.654,71.27
15/Jan/15,48,4969.906,67.07
16/Jan/15,1,4779.748,67.16
16/Jan/15,2,4664.454,65.08
16/Jan/15,3,4622.324,64.99
16/Jan/15,4,4537.809,63.05
16/Jan/15,5,4499.177,62.16
16/Jan/15,6,4462.036,62.15
16/Jan/15,7,4434.875,60.84
16/Jan/15,8,4417.147,60.84
16/Jan/15,9,4419.006,60.84
16/Jan/15,10,4443.866,60.84
16/Jan/15,11,4513.163,62.16
16/Jan/15,12,4649.703,63.9
